car;price;city;year;base;engine;color;wheel;url;transmission
Nissan Teana;3300000;Алматы;2006; седан;2.3; белый; левый руль;https://kolesa.kz//a/show/105645358; КПП автомат
Audi TT;2800000;Алматы;2000; купе;1.8; красный; левый руль;https://kolesa.kz//a/show/94972642; КПП механика
Lexus RX 330;6500000;Алматы;2005; кроссовер;3.3; черный; левый руль;https://kolesa.kz//a/show/105612113; КПП автомат
Mercedes-Benz S 500;28000000;Алматы;2013; седан;4.7; черный; левый руль;https://kolesa.kz//a/show/105547201; КПП автомат
Mitsubishi Outlander;3500000;Алматы;2003; кроссовер;2.4; серый; левый руль;https://kolesa.kz//a/show/105448263; КПП автомат
Land Rover Range Rover Sport;21000000;Алматы;2013; внедорожник;3; белый; левый руль;https://kolesa.kz//a/show/105684537; КПП робот
Toyota Land Cruiser Prado;5200000;Алматы;1997; внедорожник;3; бежевый; правый руль;https://kolesa.kz//a/show/105622307; КПП автомат
Mercedes-Benz E 350;4500000;Алматы;2007; седан;3.5; нет цвета; левый руль;https://kolesa.kz//a/show/105547006; КПП автомат
Hyundai Starex;4500000;Алматы;2007; минивэн;2.5; нет цвета; левый руль;https://kolesa.kz//a/show/105436283; КПП механика
Lifan Breez (520);1000000;Алматы;2009; хэтчбек;1.6; серебристый; левый руль;https://kolesa.kz//a/show/103727816; КПП механика
Toyota Land Cruiser;7700000;Алматы;2005; внедорожник;4.7; черный; левый руль;https://kolesa.kz//a/show/105567964; КПП автомат
Mercedes-Benz G 500;10900000;Алматы;2004; внедорожник;5; черный; левый руль;https://kolesa.kz//a/show/105524377; КПП автомат
Nissan Cefiro;2000000;Алматы;1996; седан;2; белый; правый руль;https://kolesa.kz//a/show/105647267; КПП автомат
BMW X6;20500000;Алматы;2015; кроссовер;3; белый; левый руль;https://kolesa.kz//a/show/103728008; КПП автомат
Toyota FJ Cruiser;9700000;Алматы;2007; внедорожник;4; серебристый; левый руль;https://kolesa.kz//a/show/104965435; КПП автомат
Ravon Nexia R3;3390000;Алматы;2019; седан;1.5; серебристый; левый руль;https://kolesa.kz//a/show/104741376; КПП механика
Toyota Corolla;2700000;Алматы;2003; седан;1.3; белый; левый руль;https://kolesa.kz//a/show/104942528; КПП автомат
Hyundai Tucson;8800000;Алматы;2019; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/105718545; КПП типтроник
Opel Vectra;2100000;Алматы;2001; универсал;1.8; серебристый; левый руль;https://kolesa.kz//a/show/105684045; КПП механика
Subaru XV;6500000;Алматы;2014; кроссовер;2; синий; левый руль;https://kolesa.kz//a/show/105682518; КПП типтроник
Toyota Windom;1200000;Алматы;1996; седан;2.5; серебристый; правый руль;https://kolesa.kz//a/show/103764020; КПП автомат
Subaru Outback;11900000;Алматы;2017; универсал;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105240185; КПП вариатор
Toyota Camry;4700000;Алматы;2006; седан;2.4; черный; левый руль;https://kolesa.kz//a/show/105719630; КПП автомат
Mercedes-Benz E 250;8800000;Алматы;2014; седан;2; белый; левый руль;https://kolesa.kz//a/show/105098611; КПП автомат
ВАЗ (Lada) Largus;3100000;Алматы;2014; минивэн;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105546582; КПП механика
Lexus NX 200;15900000;Алматы;2019; кроссовер;2; серый; левый руль;https://kolesa.kz//a/show/105363015; КПП типтроник
Mercedes-Benz E 280;5000000;Алматы;2008; седан;3.5; черный; левый руль;https://kolesa.kz//a/show/105101646; КПП типтроник
Lexus LX 470;9700000;Алматы;2006; внедорожник;4.7; белый; левый руль;https://kolesa.kz//a/show/42281448; КПП автомат
ВАЗ (Lada) 2114 (хэтчбек);2000000;Алматы;2013; хэтчбек;1.6; белый; левый руль;https://kolesa.kz//a/show/104346528; КПП механика
BMW 320;3800000;Алматы;2008; купе;2; белый; левый руль;https://kolesa.kz//a/show/105642862; КПП автомат
Mitsubishi Pajero;4000000;Алматы;2003; внедорожник;3.2; серебристый; левый руль;https://kolesa.kz//a/show/105646686; КПП типтроник
Chevrolet Aveo;3000000;Алматы;2014; седан;1.6; серый; левый руль;https://kolesa.kz//a/show/105379170; КПП автомат
Mitsubishi Pajero;6900000;Алматы;2009; внедорожник;3; белый; левый руль;https://kolesa.kz//a/show/105473753; КПП автомат
Subaru Outback;3850000;Алматы;2005; универсал;2.5; белый; левый руль;https://kolesa.kz//a/show/105683660; КПП автомат
Mitsubishi Pajero Sport;8400000;Алматы;2013; внедорожник;3; серебристый; левый руль;https://kolesa.kz//a/show/105637137; КПП типтроник
Volkswagen Polo;4550000;Алматы;2015; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105615784; КПП автомат
Toyota Land Cruiser;6200000;Алматы;2005; внедорожник;4.2; серебристый; левый руль;https://kolesa.kz//a/show/103364166; КПП механика
Land Rover Range Rover Sport;20500000;Алматы;2015; внедорожник;3; синий; левый руль;https://kolesa.kz//a/show/95737435; КПП автомат
Mercedes-Benz E 280;1600000;Алматы;1994; седан;2.8; коричневый; левый руль;https://kolesa.kz//a/show/103749470; КПП автомат
SsangYong Rexton;6000000;Алматы;2013; внедорожник;3.2; белый; левый руль;https://kolesa.kz//a/show/105580178; КПП типтроник
Toyota Camry;4900000;Алматы;2006; седан;3.5; серый; левый руль;https://kolesa.kz//a/show/103147991; КПП автомат
Mercedes-Benz C 180;1800000;Алматы;1995; седан;1.8; зеленый; левый руль;https://kolesa.kz//a/show/105645110; КПП автомат
Lexus RX 330;6800000;Алматы;2006; кроссовер;3.3; черный; левый руль;https://kolesa.kz//a/show/105719756; КПП автомат
Toyota Camry;7650000;Алматы;2014; седан;2; белый; левый руль;https://kolesa.kz//a/show/105168616; КПП автомат
Nissan Patrol;9800000;Алматы;2012; внедорожник;5.6; черный; левый руль;https://kolesa.kz//a/show/105214470; КПП типтроник
Volkswagen Phaeton;2800000;Алматы;2004; седан;4.2; серый; левый руль;https://kolesa.kz//a/show/105644808; КПП типтроник
Kia K5;8100000;Алматы;2018; седан;2; синий; левый руль;https://kolesa.kz//a/show/105407075; КПП типтроник
Hyundai Elantra;7950000;Алматы;2019; седан;1.6; серый; левый руль;https://kolesa.kz//a/show/105519090; КПП автомат
Honda Shuttle;2500000;Алматы;1997; минивэн;2.2; зеленый; левый руль;https://kolesa.kz//a/show/105376507; КПП автомат
Toyota Land Cruiser;13500000;Алматы;2008; внедорожник;4.7; черный; левый руль;https://kolesa.kz//a/show/105503988; КПП автомат
Audi S4;3000000;Алматы;1992; седан;2.2; бордовый; левый руль;https://kolesa.kz//a/show/102644068; КПП механика
Mercedes-Benz E 230;1300000;Алматы;1992; седан;2.3; черный; левый руль;https://kolesa.kz//a/show/105720260; КПП механика
Mercedes-Benz MB 100;1600000;Алматы;1993; микроавтобус;2.4; белый; левый руль;https://kolesa.kz//a/show/103933410; КПП механика
Subaru Impreza;2444444;Алматы;2001; универсал;2; нет цвета; левый руль;https://kolesa.kz//a/show/105546027; КПП механика
Toyota Camry;6700000;Алматы;2014; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/105630870; КПП автомат
Toyota Land Cruiser Prado;14900000;Алматы;2014; внедорожник;2.7; белый; левый руль;https://kolesa.kz//a/show/105441358; КПП автомат
Mitsubishi Pajero IO;600000;Алматы;1999; универсал;1.8; белый; правый руль;https://kolesa.kz//a/show/105358231; КПП автомат
Toyota Camry;8400000;Алматы;2013; седан;2.5; синий; левый руль;https://kolesa.kz//a/show/102124292; КПП автомат
Toyota Camry;11500000;Алматы;2019; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/105591858; КПП автомат
Hyundai Creta;10700000;Алматы;2019; кроссовер;2; серебристый; левый руль;https://kolesa.kz//a/show/28123522; КПП автомат
Lexus RX 300;28900000;Алматы;2019; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/104796156; КПП автомат
Lexus RX 200t;28900000;Алматы;2019; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/27075606; КПП автомат
Lexus RX 300;28900000;Алматы;2019; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/99366268; КПП автомат
Lexus RX 300;28900000;Алматы;2019; кроссовер;2; хамелеон; левый руль;https://kolesa.kz//a/show/98165313; КПП автомат
Lexus RX 350;33500000;Алматы;2020; кроссовер;3.5; белый; левый руль;https://kolesa.kz//a/show/104978779; КПП автомат
Subaru Legacy;1400000;Алматы;1994; седан;2.2; вишня; левый руль;https://kolesa.kz//a/show/105719743; КПП механика
Lexus RX 200t;23500000;Алматы;2020; кроссовер;2; хамелеон; левый руль;https://kolesa.kz//a/show/28895911; КПП типтроник
Lexus RX 300;23500000;Алматы;2019; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/104421716; КПП автомат
Hyundai Creta;10500000;Алматы;2020; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/45002255; КПП автомат
Audi A6 allroad;3500000;Алматы;2006; универсал;3.2; голубой; левый руль;https://kolesa.kz//a/show/105605381; КПП автомат
ВАЗ (Lada) 2190 (седан);3450000;Алматы;2020; седан;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105613112; КПП механика
Hyundai Tucson;6500000;Алматы;2014; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/105436064; КПП автомат
Mitsubishi Delica;2700000;Алматы;1996; микроавтобус;2.8; зеленый; правый руль;https://kolesa.kz//a/show/105362142; КПП автомат
Daewoo Gentra;2150000;Алматы;2009; хэтчбек;1.2; серебристый; левый руль;https://kolesa.kz//a/show/105109288; КПП автомат
Mercedes-Benz E 200;17800000;Алматы;2018; седан;2; черный; левый руль;https://kolesa.kz//a/show/102260967; КПП автомат
Mercedes-Benz S 500;12500000;Алматы;2012; седан;4.7; черный; левый руль;https://kolesa.kz//a/show/105399353; КПП типтроник
Lexus LX 570;13500000;Алматы;2009; внедорожник;5.7; белый; левый руль;https://kolesa.kz//a/show/91387560; КПП типтроник
BMW 728;2500000;Алматы;1996; седан;2.8; фиолетовый; левый руль;https://kolesa.kz//a/show/104078139; КПП типтроник
Subaru Legacy;2350000;Алматы;1999; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105635244; КПП автомат
Mercedes-Benz C 220;2400000;Алматы;1994; седан;2.2; вишня; левый руль;https://kolesa.kz//a/show/105504366; КПП автомат
Mercedes-Benz S 550;4900000;Алматы;2006; седан;5.5; серый; левый руль;https://kolesa.kz//a/show/105598020; КПП автомат
Subaru Legacy;1450000;Алматы;1994; универсал;2; зеленый; правый руль;https://kolesa.kz//a/show/100654348; КПП механика
Toyota C-HR;10300000;Алматы;2018; кроссовер;1.2; серый; левый руль;https://kolesa.kz//a/show/105543232; КПП вариатор
Nissan Juke;5000000;Алматы;2011; кроссовер;1.6; серый; левый руль;https://kolesa.kz//a/show/105412606; КПП автомат
Mercedes-Benz E 200;10000000;Алматы;2014; седан;2; белый; левый руль;https://kolesa.kz//a/show/105397428; КПП типтроник
Toyota Ipsum;2650000;Алматы;1997; минивэн;2; серебристый; правый руль;https://kolesa.kz//a/show/105500013; КПП автомат
Toyota Yaris;4500000;Алматы;2012; хэтчбек;1.5; серебристый; левый руль;https://kolesa.kz//a/show/103495495; КПП автомат
Ford Transit;7100000;Алматы;2010; фургон;2.2; серый; левый руль;https://kolesa.kz//a/show/103740273; КПП механика
Renault Duster;4500000;Алматы;2015; универсал;2; белый; левый руль;https://kolesa.kz//a/show/102187401; КПП типтроник
Lexus RX 300;4900000;Алматы;2002; кроссовер;3; черный; левый руль;https://kolesa.kz//a/show/103543763; КПП автомат
Toyota Camry;2700000;Алматы;1998; седан;2.2; зеленый; левый руль;https://kolesa.kz//a/show/105370348; КПП автомат
Cadillac SRX;3500000;Алматы;2007; кроссовер;4.6; черный; левый руль;https://kolesa.kz//a/show/46858001; КПП типтроник
Lexus ES 250;20500000;Алматы;2019; седан;2.5; белый; левый руль;https://kolesa.kz//a/show/105406643; КПП автомат
Toyota Camry;9100000;Алматы;2014; седан;3.5; белый; левый руль;https://kolesa.kz//a/show/103690783; КПП типтроник
Land Rover Range Rover Sport;5800000;Алматы;2006; внедорожник;4.2; белый; левый руль;https://kolesa.kz//a/show/105533145; КПП автомат
Mercedes-Benz GL 550;6400000;Алматы;2007; внедорожник;5.5; серебристый; левый руль;https://kolesa.kz//a/show/105382845; КПП автомат
Toyota Land Cruiser;3600000;Алматы;2001; внедорожник;4.2; черный; левый руль;https://kolesa.kz//a/show/96678229; КПП автомат
Toyota Avalon;5500000;Алматы;2006; седан;3.5; черный; левый руль;https://kolesa.kz//a/show/105005427; КПП автомат
Nissan Sentra;3500000;Алматы;2015; седан;1.6; коричневый; левый руль;https://kolesa.kz//a/show/104945594; КПП вариатор
Hyundai Tucson;6200000;Алматы;2013; кроссовер;2; вишня; левый руль;https://kolesa.kz//a/show/105649901; КПП автомат
Lexus RX 400h;6200001;Алматы;2006; кроссовер;3.3; белый; левый руль;https://kolesa.kz//a/show/105574863; КПП автомат
Toyota Solara;3350000;Алматы;2004; купе;3.3; белый; левый руль;https://kolesa.kz//a/show/105419106; КПП автомат
Chevrolet Aveo;3500000;Алматы;2014; хэтчбек;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105681854; КПП автомат
Toyota Camry;4800000;Алматы;2008; седан;2.4; белый; левый руль;https://kolesa.kz//a/show/105579090; КПП автомат
Hyundai Elantra;6300000;Алматы;2017; седан;1.6; нет цвета; левый руль;https://kolesa.kz//a/show/102133686; КПП автомат
Nissan X-Trail;8600000;Алматы;2016; кроссовер;2; серый; левый руль;https://kolesa.kz//a/show/105603476; КПП вариатор
Mercedes-Benz C 180;3500000;Алматы;2006; седан;1.8; серебристый; левый руль;https://kolesa.kz//a/show/105285472; КПП автомат
Mercedes-Benz A 200;8900000;Алматы;2014; хэтчбек;1.6; красный; левый руль;https://kolesa.kz//a/show/105631194; КПП робот
Toyota Corolla;6799999;Алматы;2015; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105400662; КПП автомат
Lexus LX 470;9600000;Алматы;2004; внедорожник;4.7; черный; левый руль;https://kolesa.kz//a/show/105630264; КПП автомат
Volvo XC90;8000000;Алматы;2007; кроссовер;2.5; нет цвета; левый руль;https://kolesa.kz//a/show/103065289; КПП автомат
Toyota Avensis;2900000;Алматы;2002; универсал;2; зеленый; левый руль;https://kolesa.kz//a/show/102253602; КПП механика
Mitsubishi Delica;2300000;Алматы;1996; микроавтобус;2.8; зеленый; правый руль;https://kolesa.kz//a/show/97641851; КПП автомат
Toyota Land Cruiser Prado;9800000;Алматы;2007; внедорожник;4; золотистый; левый руль;https://kolesa.kz//a/show/105471641; КПП автомат
Toyota RAV 4;4800000;Алматы;2005; кроссовер;2; серый; левый руль;https://kolesa.kz//a/show/105663851; КПП автомат
Toyota Land Cruiser Prado;13800000;Алматы;2014; внедорожник;3; черный; левый руль;https://kolesa.kz//a/show/105529863; КПП типтроник
Kia Optima;9300000;Алматы;2018; седан;2; нет цвета; левый руль;https://kolesa.kz//a/show/105361626; КПП типтроник
Volkswagen Touareg;5300000;Алматы;2007; кроссовер;3; синий; левый руль;https://kolesa.kz//a/show/105411810; КПП автомат
Nissan Terrano;4700000;Алматы;2014; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/105640344; КПП типтроник
Mercedes-Benz S 65 AMG;55000000;Алматы;2015; купе;6; белый; левый руль;https://kolesa.kz//a/show/104064945; КПП типтроник
Subaru Legacy;2250000;Алматы;1999; универсал;2; серый; правый руль;https://kolesa.kz//a/show/103878948; КПП автомат
Mercedes-Benz C 200;2800000;Алматы;2003; купе;2; серебристый; левый руль;https://kolesa.kz//a/show/105424936; КПП автомат
Mercedes-Benz Sprinter;11000000;Алматы;2015; микроавтобус;2.2; белый; левый руль;https://kolesa.kz//a/show/99232222; КПП механика
Jeep Wrangler;15000000;Алматы;2009; внедорожник;3.8; черный; левый руль;https://kolesa.kz//a/show/105636526; КПП автомат
Chevrolet Aveo;1950000;Алматы;2011; хэтчбек;1.4; серебристый; левый руль;https://kolesa.kz//a/show/105434262; КПП механика
Mercedes-Benz E 320;3300000;Алматы;2003; седан;3.2; черный; левый руль;https://kolesa.kz//a/show/105389966; КПП типтроник
Porsche Cayenne;6700000;Алматы;2007; внедорожник;4.8; черный; левый руль;https://kolesa.kz//a/show/102587921; КПП типтроник
Mercedes-Benz G 500;14000000;Алматы;2007; внедорожник;5; нет цвета; левый руль;https://kolesa.kz//a/show/94191819; КПП автомат
Subaru Outback;5900000;Алматы;2010; универсал;2.5; нет цвета; левый руль;https://kolesa.kz//a/show/103952096; КПП вариатор
Ravon Nexia R3;3390000;Алматы;2019; седан;1.5; белый; левый руль;https://kolesa.kz//a/show/105165450; КПП механика
Land Rover Range Rover Sport;40000000;Алматы;2019; кроссовер;3; серый; левый руль;https://kolesa.kz//a/show/105492190; КПП автомат
Mercedes-Benz SLK 200;3600000;Алматы;2002; кабриолет;2; черный; левый руль;https://kolesa.kz//a/show/105597193; КПП типтроник
Skoda Superb;3500000;Алматы;2011; седан;1.8; черный; левый руль;https://kolesa.kz//a/show/102074142; КПП механика
Kia Cerato;5200000;Алматы;2014; седан;1.6; черный; левый руль;https://kolesa.kz//a/show/105224465; КПП типтроник
Kia Rio;4750000;Алматы;2015; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105279995; КПП типтроник
Toyota Camry;10000000;Алматы;2016; седан;2.5; белый; левый руль;https://kolesa.kz//a/show/105480390; КПП типтроник
Toyota Camry;6300000;Алматы;2012; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/105443952; КПП автомат
Toyota Camry;8700000;Алматы;2014; седан;2.5; нет цвета; левый руль;https://kolesa.kz//a/show/105644256; КПП автомат
Mercedes-Benz E 200;9800000;Алматы;2014; купе;2; белый; левый руль;https://kolesa.kz//a/show/95784358; КПП типтроник
BMW M5;23000000;Алматы;2014; седан;4.4; черный; левый руль;https://kolesa.kz//a/show/103920568; КПП автомат
Lexus NX 200;13200000;Алматы;2015; кроссовер;2; черный; левый руль;https://kolesa.kz//a/show/105555902; КПП автомат
BMW 530;5500000;Алматы;2007; седан;3; черный; левый руль;https://kolesa.kz//a/show/101949632; КПП типтроник
Mitsubishi Delica;2800000;Алматы;1995; микроавтобус;2.8; черный; правый руль;https://kolesa.kz//a/show/105679922; КПП автомат
Lexus RX 350;12500000;Алматы;2013; кроссовер;3.5; белый; левый руль;https://kolesa.kz//a/show/105552021; КПП автомат
Volkswagen Touareg;5000000;Алматы;2005; внедорожник;2.5; черный; левый руль;https://kolesa.kz//a/show/105543407; КПП автомат
Mercedes-Benz SL 65 AMG;14000000;Алматы;2005; кабриолет;6.5; белый; левый руль;https://kolesa.kz//a/show/96137410; КПП автомат
Hyundai Accent;3800000;Алматы;2012; седан;1.6; черный; левый руль;https://kolesa.kz//a/show/105360886; КПП автомат
Toyota Camry;9650000;Алматы;2016; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/105495286; КПП автомат
Volkswagen Touareg;3500000;Алматы;2003; кроссовер;3.2; зеленый; левый руль;https://kolesa.kz//a/show/105484321; КПП автомат
Toyota Camry;11900000;Алматы;2018; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/104204610; КПП автомат
Land Rover Range Rover;20700000;Алматы;2013; внедорожник;5; белый; левый руль;https://kolesa.kz//a/show/105118146; КПП автомат
Toyota Camry;7800000;Алматы;2014; седан;2; белый; левый руль;https://kolesa.kz//a/show/105351165; КПП типтроник
Toyota Camry;3900000;Алматы;2002; седан;2.4; серебристый; левый руль;https://kolesa.kz//a/show/105639748; КПП автомат
